code,month,december,Yreli,Yprev,Eprev,Ereli,board,easting,northing,dispensing,perc_white,price_med,pm10,pm25,urban
18305,Oct-15,0,297,70,62.33002739,262.9031047,DUMFRIES AND GALLOWAY,296.219,576.558,N,98.1751825,106011,13.28918321,7.661019005,urban
18310,Oct-15,0,369,105,77.4870332,326.8341513,DUMFRIES AND GALLOWAY,298.757,575.534,N,99.2877493,117000,12.7676025,7.157796762,urban
18324,Oct-15,0,249,25,31.50464746,132.8841006,DUMFRIES AND GALLOWAY,278.051,610.102,N,100,69000,12.64931494,7.113977403,rural
18339,Oct-15,0,170,28,26.56737835,112.0590916,DUMFRIES AND GALLOWAY,287.819,594.837,N,99.3520518,127500,13.49089899,7.623818701,rural
18343,Oct-15,0,124,25,28.23760101,119.1039581,DUMFRIES AND GALLOWAY,286.89,584.338,Y,99.611399,2.00E+05,12.20227478,6.899940972,rural
18358,Oct-15,0,264,55,39.56675865,166.8894452,DUMFRIES AND GALLOWAY,313.511,581.664,N,99.5337995,125000,14.18131329,8.310475947,smalltown
18377,Oct-15,0,147,41,33.59962224,141.7205378,DUMFRIES AND GALLOWAY,308.275,582.475,N,99.0084986,166000,13.32363895,7.910325996,rural
18381,Oct-15,0,82,13,18.72718402,78.9897747,DUMFRIES AND GALLOWAY,308.451,605.175,Y,99.3650794,150000,13.04743625,7.285246998,rural
18396,Oct-15,0,101,34,21.50457179,90.70457571,DUMFRIES AND GALLOWAY,308.357,605.306,Y,99.3650794,150000,13.04743625,7.285246998,rural
18409,Oct-15,0,244,39,43.63944523,184.0677137,DUMFRIES AND GALLOWAY,319.296,566.484,N,97.7272727,82000,12.9685827,7.493947413,smalltown
18413,Oct-15,0,250,58,50.06027846,211.1502783,DUMFRIES AND GALLOWAY,319.296,566.484,N,97.7272727,82000,12.9685827,7.493947413,smalltown
18428,Oct-15,0,209,56,32.06167278,135.2335892,DUMFRIES AND GALLOWAY,331.783,567.089,N,99.8730964,115000,13.85671654,8.211603031,smalltown
18432,Oct-15,0,88,27,15.52323763,65.47578333,DUMFRIES AND GALLOWAY,339.303,576.473,Y,98.8493724,85000,12.99536259,7.664046654,rural
18447,Oct-15,0,82,17,20.4202783,86.13111188,DUMFRIES AND GALLOWAY,336.386,584.491,N,98.4126984,85000,12.98714202,7.692763819,rural
18451,Oct-15,0,110,25,16.85346796,71.0865892,DUMFRIES AND GALLOWAY,319.317,574.547,Y,99.365942,95500,15.44661911,9.5106241,rural
18560,Oct-15,0,388,73,79.61527373,335.8109008,DUMFRIES AND GALLOWAY,297.051,576.311,N,98.3901515,85000,13.60534693,7.919505876,urban
18574,Oct-15,0,159,30,15.1348468,63.83758164,DUMFRIES AND GALLOWAY,209.734,550.194,Y,99.7624703,120000,12.87124019,7.044634889,rural
18589,Oct-15,0,78,9,12.18129447,51.37973251,DUMFRIES AND GALLOWAY,220.308,557.594,Y,99.1395793,96000,12.07208474,6.564802767,rural
18593,Oct-15,0,184,61,34.37528734,144.9922316,DUMFRIES AND GALLOWAY,206.334,560.298,N,99.6714129,80000,13.55221678,7.756542116,urban
18611,Oct-15,0,171,31,22.12229609,93.31008775,DUMFRIES AND GALLOWAY,244.613,540.691,Y,99.1556092,79250,13.19344925,7.547712753,rural
20004,Oct-15,0,128,12,43.93742078,185.3245509,FIFE,357.198,704.106,N,99.3431856,154950,14.19423792,7.873248411,smalltown
20057,Oct-15,0,157,20,41.19682549,173.7649377,FIFE,323.88,711.486,Y,98.6419753,140000,14.05639599,7.839439498,rural
20108,Oct-15,0,285,27,47.87818364,201.9463757,FIFE,335.535,698.61,N,98.1818182,55750,13.40300044,7.543393628,urban
20151,Oct-15,0,143,18,35.44132983,149.4887141,FIFE,323.45,685.808,N,98.4971098,98000,12.85026472,7.104081676,smalltown
20184,Oct-15,0,49,11,9.880534133,41.67530817,FIFE,323.45,685.808,N,98.4971098,98000,12.85026472,7.104081676,smalltown
20254,Oct-15,0,80,24,20.85391762,87.96016812,FIFE,318.985,693.591,N,98.4063745,83500,13.91342963,7.914184232,smalltown
20305,Oct-15,0,314,71,67.92614796,286.5070968,FIFE,316.04,691.721,N,99.1404011,61720,14.2865412,8.281267759,urban
20358,Oct-15,0,90,21,27.34739627,115.3491453,FIFE,314.669,689.196,N,98.5897436,78800,15.05596466,8.474826599,urban
20409,Oct-15,0,160,40,54.14914174,228.3967788,FIFE,337.236,715.005,N,99.4467497,110000,14.32939493,7.994025531,smalltown
20413,Oct-15,0,135,38,48.23280945,203.4421592,FIFE,337.236,715.005,N,99.4467497,110000,14.32939493,7.994025531,smalltown
20451,Oct-15,0,274,66,65.11050163,274.6309242,FIFE,309.77,686.885,N,96.1538462,79250,14.88425257,8.403728037,urban
20466,Oct-15,0,233,43,77.22028541,325.7090303,FIFE,310.909,688.665,N,98.0589023,135000,13.90820324,7.869420323,urban
20471,Oct-15,0,88,24,55.94243267,235.9607375,FIFE,310.028,686.327,N,98.7084871,79250,14.57568472,8.393128271,urban
20485,Oct-15,0,182,42,57.82363341,243.8954928,FIFE,309.762,687.033,N,96.5517241,79250,14.14129453,7.961306117,urban
20490,Oct-15,0,196,57,61.74442049,260.4330613,FIFE,309.891,687.886,N,96.4421855,110000,14.14129453,7.961306117,urban
20502,Oct-15,0,133,32,35.56262793,150.0003399,FIFE,311.869,686.772,N,97.6190476,91500,15.17636722,9.031994204,urban
20606,Oct-15,0,195,27,47.00558537,198.2658255,FIFE,325.986,701.055,N,97.7119785,58000,13.4559193,7.420572936,urban
20611,Oct-15,0,298,66,54.44683134,229.6524099,FIFE,327.62,702.321,N,98.4227129,72500,13.16689515,7.240709279,urban
20630,Oct-15,0,205,43,35.44296838,149.4956254,FIFE,325.986,701.055,N,97.7119785,58000,13.4559193,7.420572936,urban
20659,Oct-15,0,310,92,59.19145961,249.6648751,FIFE,328.226,700.385,N,97.640118,75500,13.94316322,7.772379788,urban
20663,Oct-15,0,205,49,56.11782108,236.7005119,FIFE,327.915,699.499,N,98.3847283,75500,13.7736227,7.579585504,urban
20729,Oct-15,0,142,29,30.27507221,127.6978499,FIFE,300.673,686.591,N,99.3318486,102500,13.2723088,7.531490458,smalltown
20752,Oct-15,0,381,76,122.5299034,516.8214,FIFE,313.043,682.74,N,97.9777553,76500,14.52336926,8.034592114,urban
20803,Oct-15,0,249,61,46.23230775,195.0042019,FIFE,314.272,694.373,N,98.0670103,73500,14.06272607,8.020225159,smalltown
20856,Oct-15,0,101,20,24.69988515,104.1821537,FIFE,335.176,702.369,N,99.3131868,82500,13.82616958,7.69301765,urban
20907,Oct-15,0,89,21,23.18374066,97.78717664,FIFE,326.921,686.887,N,98.6631016,125000,12.87195679,7.136894201,rural
20950,Oct-15,0,203,44,40.67572118,171.5669611,FIFE,327.651,691.049,N,97.810219,98000,13.5827632,7.552065081,urban
20964,Oct-15,0,125,50,45.84289112,193.3616735,FIFE,328.032,693.311,N,93.4740883,109000,14.03505062,7.949804044,urban
20979,Oct-15,0,202,60,51.62948746,217.7690772,FIFE,327.127,692.298,N,97.8461538,88000,13.47053739,7.452322817,urban
20983,Oct-15,0,159,46,44.56129078,187.955985,FIFE,327.83,691.567,N,94.5626478,98000,13.5827632,7.552065081,urban
20998,Oct-15,0,357,68,67.4544861,284.5176645,FIFE,328.739,692.467,N,97.0940171,95750,13.58937536,7.553401273,urban
21007,Oct-15,0,174,40,43.49562955,183.4611106,FIFE,328.032,693.311,N,93.4740883,109000,14.03505062,7.949804044,urban
21011,Oct-15,0,162,37,37.89315904,159.830335,FIFE,328.032,693.311,N,93.4740883,109000,14.03505062,7.949804044,urban
21026,Oct-15,0,33,4,10.63888779,44.87398366,FIFE,328.032,693.311,N,93.4740883,109000,14.03505062,7.949804044,urban
21101,Oct-15,0,116,16,30.69821302,129.4826242,FIFE,330.492,709.649,N,98.5488127,167000,14.19344592,7.868426268,rural
21153,Oct-15,0,136,26,41.63691462,175.6211987,FIFE,324.515,701.558,N,99.1784038,58000,13.33616969,7.389279875,urban
21204,Oct-15,0,59,19,23.93749639,100.9664584,FIFE,342.472,720.771,N,97.5881262,192500,14.55981878,8.054963771,rural
21257,Oct-15,0,212,54,61.04875839,257.4988138,FIFE,338.146,700.93,N,96.9298246,75000,12.63316509,7.010183133,urban
21276,Oct-15,0,129,26,26.79856823,113.0342322,FIFE,338.146,700.93,N,96.9298246,75000,12.63316509,7.010183133,urban
21308,Oct-15,0,40,8,17.60672441,74.26376507,FIFE,306.612,683.566,N,98.2758621,169000,12.85774703,7.158760985,rural
21384,Oct-15,0,150,17,32.80143048,138.3538284,FIFE,318.547,693.681,N,99.9022483,83500,13.91342963,7.914184232,urban
21421,Oct-15,0,269,39,47.46336268,200.1966938,FIFE,317.992,696.726,N,99.1477273,55000,13.17071479,7.404312278,smalltown
